"FROM", "TO", "PREV", "LOG", "LAT"
166650,166646,166645,-38.5348,-3.82047
166650,166645,75321,-38.5338,-3.81902
166650,75321,135281,-38.5333,-3.81843
166650,135281,158815,-38.5324,-3.81722
166650,158815,39082,-38.5317,-3.81624
166650,39082,155619,-38.5309,-3.81518
166650,155619,112568,-38.5299,-3.8137
166650,112568,21296,-38.5294,-3.8131
166650,21296,21294,-38.5287,-3.81215
166650,21294,53588,-38.5281,-3.81136
166650,53588,105478,-38.5271,-3.80992
166650,105478,105476,-38.5269,-3.80967
166650,105476,42240,-38.5268,-3.80951
166650,42240,65734,-38.5265,-3.80912
166650,65734,12806,-38.5262,-3.80872
166650,12806,21759,-38.5258,-3.80821
166650,21759,21749,-38.5253,-3.80737
166650,21749,48614,-38.5254,-3.80731
166650,48614,56149,-38.5254,-3.80727
166650,56149,13709,-38.5254,-3.80722
166650,13709,56170,-38.5253,-3.80711
166650,56170,29771,-38.5252,-3.80692
166650,29771,56130,-38.5251,-3.80684
166650,56130,55188,-38.5247,-3.80724
166650,55188,29625,-38.5228,-3.80908
166650,29625,166568,-38.5222,-3.80936
166650,166568,148374,-38.5215,-3.80955
166650,148374,48540,-38.521,-3.80966
166650,48540,48530,-38.5209,-3.80969
166650,48530,52427,-38.5205,-3.80978
166650,52427,49796,-38.5197,-3.80999
166650,49796,49797,-38.5195,-3.81004
166650,49797,4889,-38.519,-3.81017
166650,4889,132990,-38.5187,-3.81024
166650,132990,132991,-38.5178,-3.81047
166650,132991,68959,-38.5169,-3.81069
166650,68959,44196,-38.5167,-3.81073
166650,44196,44197,-38.5162,-3.81085
166650,44197,52432,-38.5154,-3.81106
166650,52432,52433,-38.5152,-3.8111
166650,52433,47772,-38.515,-3.81114
166650,47772,47773,-38.5148,-3.81119
166650,47773,52431,-38.5144,-3.81131
166650,52431,75870,-38.5139,-3.81141
166650,75870,92484,-38.5138,-3.81144
166650,92484,25356,-38.5132,-3.8116
166650,25356,111092,-38.5131,-3.81163
166650,111092,111102,-38.5114,-3.81163
166650,111102,123125,-38.5113,-3.81161
166650,123125,102540,-38.5104,-3.8112
166650,102540,3596,-38.51,-3.81093
166650,3596,39768,-38.5093,-3.81016
166650,39768,111067,-38.5089,-3.80953
166650,111067,44581,-38.5089,-3.80929
166650,44581,44589,-38.5086,-3.80784
166650,44589,15108,-38.5083,-3.80611
166650,15108,15109,-38.5082,-3.80529
166650,15109,14400,-38.5081,-3.80466
166650,14400,144720,-38.508,-3.80432
166650,144720,155509,-38.508,-3.80388
166650,155509,116185,-38.5079,-3.80331
166650,116185,72365,-38.5078,-3.80268
166650,72365,56895,-38.5077,-3.80242
166650,56895,56896,-38.5077,-3.80214
166650,56896,97588,-38.5076,-3.80164
166650,97588,97594,-38.5074,-3.80093
166650,97594,61060,-38.5068,-3.80025
166650,61060,61051,-38.506,-3.79985
166650,61051,68119,-38.5056,-3.79967
166650,68119,78591,-38.5055,-3.79962
166650,78591,30637,-38.5054,-3.79957
166650,30637,43915,-38.5053,-3.79955
166650,43915,30650,-38.5052,-3.79949
166650,30650,29205,-38.5051,-3.79943
166650,29205,80458,-38.505,-3.7994
166650,80458,16804,-38.5046,-3.79923
166650,16804,102545,-38.5037,-3.79881
166650,102545,43974,-38.5034,-3.79864
166650,43974,1976,-38.5026,-3.79831
166650,1976,1975,-38.5012,-3.79768
